第 1 周|Apr 2|Specialization Introduction: Excel to MySQL: Analytic Techniques for Business|About this Specialization|4 min
第 4 周|Apr 23|Visualization Science|Using Visualization Science to Influence Business Decisions|3 min
第 3 周|Apr 16|Introduction|Customizing and Sharing New Data in Tableau|2 min
第 1 周|Apr 2|Specialization Introduction: Excel to MySQL: Analytic Techniques for Business|Specialization Overview|10 min
第 1 周|Apr 2|Welcome and Course Overview|Welcome to the Course!|4 min
第 1 周|Apr 2|Welcome and Course Overview|Course Overview|10 min
第 1 周|Apr 2|Welcome and Course Overview|FAQ (Frequently Asked Questions)|10 min
第 1 周|Apr 2|Welcome and Course Overview|Special Thanks!|10 min
第 1 周|Apr 2|Welcome and Course Overview|About the Course Team|10 min
第 1 周|Apr 2|Welcome and Course Overview|Feedback Survey Information|10 min
第 1 周|Apr 2|Introduction|Tips for Becoming a Data Analyst|8 min
第 4 周|Apr 23|Storyboarding Your Data Story|The Storyboarding Hourglass|5 min
第 4 周|Apr 23|Storyboarding Your Data Story|Making Your Data Story Come Alive|9 min
第 4 周|Apr 23|Storyboarding Your Data Story|Storyboarding Your Presentation|6 min
第 4 周|Apr 23|Stress-testing Your Story|The Best Stress-Testers are Teams|3 min
第 4 周|Apr 23|Stress-testing Your Story|Overgeneralization and Sample Bias|5 min
第 4 周|Apr 23|Stress-testing Your Story|Misinterpretations Due to Lack of Controls|3 min
第 4 周|Apr 23|Stress-testing Your Story|Correlation Does Not Equal Causation|6 min
第 4 周|Apr 23|Stress-testing Your Story|How Correlations Impact Business Decisions|8 min
第 3 周|Apr 16|Row-level Calculations|Data Sets Needed in Week 3|10 min
第 3 周|Apr 16|Row-level Calculations|Tableau Calculation Types|4 min
第 3 周|Apr 16|Row-level Calculations|How to Write Calculations|11 min
第 3 周|Apr 16|Row-level Calculations|Calculations that Make Filtering More Efficient|8 min
第 3 周|Apr 16|Row-level Calculations|Identifying Companies that Pay Less than the Prevailing Wage|9 min
第 3 周|Apr 16|Blending and Aggregation-level Calculations|Blending Price Parity Data with Our Salary Data|4 min
第 1 周|Apr 2|Introduction|Asking the Right Questions|5 min
第 1 周|Apr 2|Asking Questions Before You Have Data|Rock Projects|5 min
第 1 周|Apr 2|Asking Questions Before You Have Data|S.M.A.R.T. Objectives|9 min
第 1 周|Apr 2|Your Stakeholders|Listening to Stakeholders During Elicitation|8 min
第 1 周|Apr 2|Your Stakeholders|Stakeholder Expectations Matter|8 min
第 1 周|Apr 2|Your Stakeholders|Week 1 Additional Resources|10 min
第 1 周|Apr 2|Structure Pyramid Analysis Plans|SPAP Graphic|10 min
第 4 周|Apr 23|Tools for Conveying Your Data Story|Choosing Visualizations for Story Points|7 min
第 4 周|Apr 23|Tools for Conveying Your Data Story|The Neuroscience of Visual Perception Can Make or Break Your Visualization|3 min
第 4 周|Apr 23|Tools for Conveying Your Data Story|Misinterpretations Caused by Colorbars|4 min
